GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Abbiege-Unfall;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;35508;33946;30409;34486;33696;32645;34146;34315;33865;33250;34591;32995;28455
Abbiege-Unfall;innerorts;Insgesamt;Verunglückte;Anzahl;43766;41979;37802;42322;41664;40292;42146;42052;41627;40642;42250;40017;33779
Abbiege-Unfall;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;128;126;103;127;103;99;91;123;104;115;104;109;103
Abbiege-Unfall;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;135;131;107;131;106;100;93;127;108;123;105;112;106
Abbiege-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;2035;2019;1769;2103;1976;1897;2045;2019;2135;2100;2230;2135;2024
Abbiege-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;2507;2538;2214;2630;2450;2377;2592;2567;2746;2750;2889;2820;2564
Abbiege-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;6383;6107;5677;6184;5825;5712;5973;5981;5894;5865;6010;5796;5086
Abbiege-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;11117;10816;10028;10893;10297;10164;10516;10686;10534;10561;10954;10588;8920
Abbiege-Unfall;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;8546;8252;7549;8414;7904;7708;8109;8123;8133;8080;8344;8040;7213
Abbiege-Unfall;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;13759;13485;12349;13654;12853;12641;13201;13380;13388;13434;13948;13520;11590
Abbiege-Unfall;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;1;-;-;1;-;1;-;-;1;-;1;-;-
Abbiege-Unfall;auf Autobahnen;Getötete;Verunglückte;Anzahl;1;-;-;2;-;1;-;-;1;-;2;-;-
Abbiege-Unfall;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;4;7;8;3;7;8;5;6;4;8;5;5;7
Abbiege-Unfall;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;7;7;8;3;8;12;5;9;6;8;8;6;7
Abbiege-Unfall;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;61;65;62;57;65;57;54;73;56;68;65;78;55
