GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Unfall durch ruhenden Verkehr;Insgesamt;Insgesamt;Verunglückte;Anzahl;10989;10418;9292;10304;10643;10174;10998;10655;11040;10745;11186;11036;9713
Unfall im Längsverkehr;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;102;112;66;92;101;87;76;89;80;99;97;80;65
Unfall im Längsverkehr;innerorts;Getötete;Verunglückte;Anzahl;107;118;70;92;106;88;79;92;82;102;105;83;66
Unfall im Längsverkehr;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;3694;3769;3672;3703;3680;3641;3921;3923;3835;3834;3981;3599;3180
Unfall im Längsverkehr;innerorts;Schwerverletzte;Verunglückte;Anzahl;4099;4147;4126;4101;4029;4042;4349;4345;4289;4348;4467;4048;3492
Unfall im Längsverkehr;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;41148;40171;38391;39059;39292;38442;41203;41251;41891;40398;40341;38648;31462
Unfall im Längsverkehr;innerorts;Leichtverletzte;Verunglückte;Anzahl;55594;54715;52467;53189;53541;52459;56201;56090;56814;55222;54738;52129;41378
Unfall im Längsverkehr;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;44944;44052;42129;42854;43073;42170;45200;45263;45806;44331;44419;42327;34707
Unfall im Längsverkehr;innerorts;Insgesamt;Verunglückte;Anzahl;59800;58980;56663;57382;57676;56589;60629;60527;61185;59672;59310;56260;44936
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;594;523;512;536;526;445;517;539;492;417;499;464;375
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;680;581;583;605;582;506;568;595;534;465;542;509;418
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;4042;3876;3620;3944;3809;3905;4052;4282;4269;4218;4345;4152;3659
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;5653;5380;5131;5508;5313;5482;5753;6074;6028;5896;6142;5933;4985
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;14944;14572;14113;14770;14933;14592;15161;16177;16454;15813;16469;15692;13004
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;24333;23817;23218;24249;24320;23932;25355;26844;27379;26274;27414;26211;21125
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;19580;18971;18245;19250;19268;18942;19730;20998;21215;20448;21313;20308;17038
Unfall im Längsverkehr;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;30666;29778;28932;30362;30215;29920;31676;33513;33941;32635;34098;32653;26528
Unfall im Längsverkehr;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;174;147;162;178;150;196;143;179;168;186;196;181;150
Unfall im Längsverkehr;auf Autobahnen;Getötete;Verunglückte;Anzahl;202;174;183;200;181;225;160;205;196;229;220;195;170
Unfall im Längsverkehr;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;1611;1609;1610;1863;1805;1869;2029;2152;2358;2305;2374;2246;1650
Unfall im Längsverkehr;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;2110;2175;2163;2537;2530;2628;2865;3042;3301;3174;3305;3166;2282
Unfall im Längsverkehr;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;8104;8180;8407;8805;8537;9034;9489;10332;11128;10916;10867;10492;7265
Unfall im Längsverkehr;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;14257;14353;14561;15516;15114;16115;17253;18582;19958;19683;19605;18692;12639
Unfall im Längsverkehr;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;9889;9936;10179;10846;10492;11099;11661;12663;13654;13407;13437;12919;9065
Unfall im Längsverkehr;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;16569;16702;16907;18253;17825;18968;20278;21829;23455;23086;23130;22053;15091
Unfall im Längsverkehr;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;870;782;740;806;777;728;736;807;740;702;792;725;590
Unfall im Längsverkehr;Insgesamt;Getötete;Verunglückte;Anzahl;989;873;836;897;869;819;807;892;812;796;867;787;654
Unfall im Längsverkehr;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;9347;9254;8902;9510;9294;9415;10002;10357;10462;10357;10700;9997;8489
Unfall im Längsverkehr;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;11862;11702;11420;12146;11872;12152;12967;13461;13618;13418;13914;13147;10759
Unfall im Längsverkehr;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;64196;62923;60911;62634;62762;62068;65853;67760;69473;67127;67677;64832;51731
Unfall im Längsverkehr;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;94184;92885;90246;92954;92975;92506;98809;101516;104151;101179;101757;97032;75142
Unfall im Längsverkehr;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;74413;72959;70553;72950;72833;72211;76591;78924;80675;78186;79169;75554;60810
Unfall im Längsverkehr;Insgesamt;Insgesamt;Verunglückte;Anzahl;107035;105460;102502;105997;105716;105477;112583;115869;118581;115393;116538;110966;86555
Sonstiger Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;187;175;144;161;152;150;156;177;137;166;161;161;152
Sonstiger Unfall;innerorts;Getötete;Verunglückte;Anzahl;190;177;148;161;155;150;157;180;140;167;163;167;152
Sonstiger Unfall;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;5195;5013;4615;5096;4940;4733;5139;5190;4937;5034;5233;5243;5111
Sonstiger Unfall;innerorts;Schwerverletzte;Verunglückte;Anzahl;5353;5176;4797;5264;5123;4931;5318;5402;5126;5203;5415;5430;5247
Sonstiger Unfall;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;22630;21743;20462;22377;21776;21108;22528;23147;23076;23251;24548;24791;23435
Sonstiger Unfall;innerorts;Leichtverletzte;Verunglückte;Anzahl;25580;24583;23250;25358;24628;24009;25482;26296;26024;26299;27719;27779;25815
Sonstiger Unfall;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;28012;26931;25221;27634;26868;25991;27823;28514;28150;28451;29942;30195;28698
Sonstiger Unfall;innerorts;Insgesamt;Verunglückte;Anzahl;31123;29936;28195;30783;29906;29090;30957;31878;31290;31669;33297;33376;31214
Sonstiger Unfall;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;150;126;118;135;145;133;142;119;113;115;127;118;101
Sonstiger Unfall;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;157;131;125;140;150;138;150;121;124;119;131;121;108
Sonstiger Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;2136;1951;1804;2004;2032;1872;2057;1998;1955;1992;2027;2013;2059
Sonstiger Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;2403;2218;2030;2223;2280;2130;2346;2301;2230;2261;2313;2280;2247
Sonstiger Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;5463;4998;4824;5225;5176;4795;5037;5332;5092;5236;5214;5291;5438
Sonstiger Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;6957;6466;6100;6726;6631;6159;6444;6768;6448;6544;6475;6653;6446
Sonstiger Unfall;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;7749;7075;6746;7364;7353;6800;7236;7449;7160;7343;7368;7422;7598
Sonstiger Unfall;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;9517;8815;8255;9089;9061;8427;8940;9190;8802;8924;8919;9054;8801
Sonstiger Unfall;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;62;69;51;63;50;44;56;60;37;47;45;46;45
Sonstiger Unfall;auf Autobahnen;Getötete;Verunglückte;Anzahl;68;81;55;76;57;50;73;64;41;49;49;49;47
Sonstiger Unfall;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;512;463;447;508;546;528;539;559;578;544;567;550;447
Sonstiger Unfall;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;677;637;602;710;720;729;802;760;772;756;804;779;567
Sonstiger Unfall;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;1470;1394;1464;1343;1244;1336;1228;1349;1265;1306;1279;1250;1030
Sonstiger Unfall;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;2328;2196;2226;2216;1994;2101;2076;2166;2003;2100;1964;1956;1539
Sonstiger Unfall;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;2044;1926;1962;1914;1840;1908;1823;1968;1880;1897;1891;1846;1522
Sonstiger Unfall;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;3073;2914;2883;3002;2771;2880;2951;2990;2816;2905;2817;2784;2153
Sonstiger Unfall;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;399;370;313;359;347;327;354;356;287;328;333;325;298
Sonstiger Unfall;Insgesamt;Getötete;Verunglückte;Anzahl;415;389;328;377;362;338;380;365;305;335;343;337;307
Sonstiger Unfall;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;7843;7427;6866;7608;7518;7133;7735;7747;7470;7570;7827;7806;7617
Sonstiger Unfall;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;8433;8031;7429;8197;8123;7790;8466;8463;8128;8220;8532;8489;8061
Sonstiger Unfall;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;29563;28135;26750;28945;28196;27239;28793;29828;29433;29793;31041;31332;29903
Sonstiger Unfall;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;34865;33245;31576;34300;33253;32269;34002;35230;34475;34943;36158;36388;33800
Sonstiger Unfall;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;37805;35932;33929;36912;36061;34699;36882;37931;37190;37691;39201;39463;37818
Sonstiger Unfall;Insgesamt;Insgesamt;Verunglückte;Anzahl;43713;41665;39333;42874;41738;40397;42848;44058;42908;43498;45033;45214;42168
Insgesamt;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;1222;1185;983;1087;1030;958;968;1023;938;952;954;908;800
Insgesamt;innerorts;Getötete;Verunglückte;Anzahl;1261;1225;1011;1115;1062;977;983;1048;960;976;984;932;810
Insgesamt;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;35555;34313;31191;34833;33357;31846;33876;33607;33301;32756;33591;32071;29162
Insgesamt;innerorts;Schwerverletzte;Verunglückte;Anzahl;37694;36361;33262;36954;35350;33843;36054;35774;35482;34966;35838;34103;30719
Insgesamt;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;184529;177863;163659;174507;172309;166846;174774;175191;177447;173854;178579;174646;153450
Insgesamt;innerorts;Leichtverletzte;Verunglückte;Anzahl;229190;221333;204869;217336;214959;207678;217417;217786;219875;215816;220312;214309;183266
Insgesamt;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;221306;213361;195833;210427;206696;199650;209618;209821;211686;207562;213124;207625;183412
Insgesamt;innerorts;Insgesamt;Verunglückte;Anzahl;268145;258919;239142;255405;251371;242498;254454;254608;256317;251758;257134;249344;214795
Insgesamt;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;2461;2274;2030;2237;2010;1794;1892;1877;1730;1669;1759;1641;1490
Insgesamt;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;2721;2452;2207;2441;2151;1934;2019;1997;1853;1795;1867;1758;1592
Insgesamt;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;22610;21934;19610;21570;20742;20151;20760;20890;20605;20389;20959;20082;18762
Insgesamt;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;28054;27262;24434;26808;25766;25046;25971;26098;25841;25573;26219;25308;22852
Insgesamt;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;55968;54843;51995;53742;52342;51058;51264;52958;52931;52108;52342;50815;45598
Insgesamt;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;85829;84317;79732;82586;80355;78373;79323;81400;81523;80265;80736;78594;67414
Insgesamt;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;81039;79051;73635;77549;75094;73003;73916;75725;75266;74166;75060;72538;65850
Insgesamt;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;116604;114031;106373;111835;108272;105353;107313;109495;109217;107633;108822;105660;91858
Insgesamt;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;434;408;374;400;335;379;327;377;348;356;383;328;292
Insgesamt;auf Autobahnen;Getötete;Verunglückte;Anzahl;495;475;430;453;387;428;375;414;393;409;424;356;317
Insgesamt;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;3747;3742;3682;3909;3830;3789;4108;4202;4479;4386;4344;4205;3319
Insgesamt;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;4896;4944;4924;5223;5163;5168;5707;5834;6103;5974;5910;5833;4434
Insgesamt;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;14088;14244;14773;13981;13682;14284;14466;15534;16366;16186;15810;15447;11626
Insgesamt;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;23384;23454;23949;23458;22785;24034;25063;26540;27842;27718;27003;26083;18865
Insgesamt;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;18269;18394;18829;18290;17847;18452;18901;20113;21193;20928;20537;19980;15237
Insgesamt;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;28775;28873;29303;29134;28335;29630;31145;32788;34338;34101;33337;32272;23616
Insgesamt;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;4117;3867;3387;3724;3375;3131;3187;3277;3016;2977;3096;2877;2582
Insgesamt;Insgesamt;Getötete;Verunglückte;Anzahl;4477;4152;3648;4009;3600;3339;3377;3459;3206;3180;3275;3046;2719
Insgesamt;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;61912;59989;54483;60312;57929;55786;58744;58699;58385;57531;58894;56358;51243
Insgesamt;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;70644;68567;62620;68985;66279;64057;67732;67706;67426;66513;67967;65244;58005
Insgesamt;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;254585;246950;230427;242230;238333;232188;240504;243683;246744;242148;246731;240908;210674
Insgesamt;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;338403;329104;308550;323380;318099;310085;321803;325726;329240;323799;328051;318986;269545
Insgesamt;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;320614;310806;288297;306266;299637;291105;302435;305659;308145;302656;308721;300143;264499
Insgesamt;Insgesamt;Insgesamt;Verunglückte;Anzahl;413524;401823;374818;396374;387978;377481;392912;396891;399872;393492;399293;387276;330269
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 22.01.2022 / 16:41:43
