;;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
Kategorie;Kategorie;Kategorie;Kategorie;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
Jahr;Fahrzeug;Ortslage;Schwere der Verletzung;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt
2014;Fahrrad;innerorts;Insgesamt;5924;2625;1653;2314;6124;5077;7007;4691;3665;2963;104;42147;3088;1587;1225;1815;4055;2963;4670;3911;3049;2182;57;28602;1;-;-;-;-;1;1;-;-;-;111;114;9013;4212;2878;4129;10179;8041;11678;8602;6714;5145;272;70863
2014;Fahrrad;außerorts (ohne Autobahnen);Getötete;4;6;2;4;2;9;17;8;23;45;-;120;2;5;-;2;1;-;2;7;12;15;-;46;-;-;-;-;-;-;-;-;-;-;-;-;6;11;2;6;3;9;19;15;35;60;-;166
2014;Fahrrad;außerorts (ohne Autobahnen);Schwerverletzte;92;67;35;38;146;209;413;295;238;173;2;1708;43;35;11;19;48;48;146;143;126;87;1;707;-;-;-;-;-;-;-;-;-;-;-;-;135;102;46;57;194;257;559;438;364;260;3;2415
2014;Fahrrad;außerorts (ohne Autobahnen);Leichtverletzte;250;204;125;125;370;430;730;503;402;250;3;3392;143;109;60;58;148;125;267;220;202;112;1;1445;-;1;-;-;-;-;-;-;-;-;6;7;393;314;185;183;518;555;997;723;604;362;10;4844
2014;Fahrrad;außerorts (ohne Autobahnen);Insgesamt;346;277;162;167;518;648;1160;806;663;468;5;5220;188;149;71;79;197;173;415;370;340;214;2;2198;-;1;-;-;-;-;-;-;-;-;6;7;534;427;233;246;715;821;1575;1176;1003;682;13;7425
2014;Fahrrad;auf Autobahnen;Getötete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Fahrrad;auf Autobahnen;Schwerverletzte;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
2014;Fahrrad;auf Autobahnen;Leichtverletzte;-;-;1;-;-;-;1;1;1;-;-;4;-;1;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;2;1;-;-;7
2014;Fahrrad;auf Autobahnen;Insgesamt;-;-;1;-;-;-;1;2;1;-;-;5;-;1;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;3;1;-;-;8
2014;Fahrrad;Insgesamt;Getötete;10;9;4;8;11;16;35;33;58;96;-;280;2;5;1;2;3;3;8;20;30;42;-;116;-;-;-;-;-;-;-;-;-;-;-;-;12;14;5;10;14;19;43;53;88;138;-;396
2014;Fahrrad;Insgesamt;Schwerverletzte;902;395;258;318;927;971;1719;1333;1067;973;8;8871;371;249;144;223;489;446;963;1071;913;778;3;5650;-;-;-;-;-;-;-;-;-;-;1;1;1273;644;402;541;1416;1417;2682;2404;1980;1751;12;14522
2014;Fahrrad;Insgesamt;Leichtverletzte;5358;2498;1554;2155;5704;4738;6414;4133;3204;2362;101;38221;2903;1483;1151;1669;3760;2687;4115;3191;2446;1576;56;25037;1;1;-;-;-;1;1;-;-;-;116;120;8262;3982;2705;3824;9464;7426;10530;7324;5650;3938;273;63378
2014;Fahrrad;Insgesamt;Insgesamt;6270;2902;1816;2481;6642;5725;8168;5499;4329;3431;109;47372;3276;1737;1296;1894;4252;3136;5086;4282;3389;2396;59;30803;1;1;-;-;-;1;1;-;-;-;117;121;9547;4640;3112;4375;10894;8862;13255;9781;7718;5827;285;78296
2014;Pedelecs;innerorts;Getötete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;innerorts;Schwerverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;innerorts;Leichtverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;innerorts;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;außerorts (ohne Autobahnen);Getötete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;außerorts (ohne Autobahnen);Schwerverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;außerorts (ohne Autobahnen);Leichtverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;außerorts (ohne Autobahnen);Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;auf Autobahnen;Getötete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;auf Autobahnen;Schwerverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;auf Autobahnen;Leichtverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;auf Autobahnen;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;Insgesamt;Getötete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;Insgesamt;Schwerverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;Insgesamt;Leichtverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Pedelecs;Insgesamt;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;Andere Fahrzeuge;innerorts;Getötete;-;-;1;-;-;-;-;-;-;2;-;3;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;-;5
2014;Andere Fahrzeuge;innerorts;Schwerverletzte;7;2;1;4;11;9;16;16;17;25;-;108;4;2;1;4;5;9;12;13;14;34;-;98;-;-;-;-;-;-;-;-;-;-;-;-;11;4;2;8;16;18;28;29;31;59;-;206
2014;Andere Fahrzeuge;innerorts;Leichtverletzte;53;16;22;19;75;72;125;90;53;61;3;589;39;13;32;42;99;82;116;113;82;106;1;725;-;-;-;-;-;-;-;-;-;-;9;9;92;29;54;61;174;154;241;203;135;167;13;1323
2014;Andere Fahrzeuge;innerorts;Insgesamt;60;18;24;23;86;81;141;106;70;88;3;700;43;15;33;46;104;91;128;126;97;141;1;825;-;-;-;-;-;-;-;-;-;-;9;9;103;33;57;69;190;172;269;232;167;229;13;1534
2014;Andere Fahrzeuge;außerorts (ohne Autobahnen);Getötete;-;-;-;-;-;-;-;-;1;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;4
2014;Andere Fahrzeuge;außerorts (ohne Autobahnen);Schwerverletzte;3;1;-;1;1;2;3;6;4;2;-;23;4;3;-;2;1;1;2;9;3;5;-;30;-;-;-;-;-;-;-;-;-;-;-;-;7;4;-;3;2;3;5;15;7;7;-;53
2014;Andere Fahrzeuge;außerorts (ohne Autobahnen);Leichtverletzte;16;4;-;6;16;14;17;8;6;5;-;92;12;4;2;3;7;3;9;4;5;7;-;56;-;-;-;-;-;-;-;-;-;-;-;-;28;8;2;9;23;17;26;12;11;12;-;148
2014;Andere Fahrzeuge;außerorts (ohne Autobahnen);Insgesamt;19;5;-;7;17;16;20;14;11;10;-;119;16;7;2;5;8;4;11;13;8;12;-;86;-;-;-;-;-;-;-;-;-;-;-;-;35;12;2;12;25;20;31;27;19;22;-;205
2014;Andere Fahrzeuge;auf Autobahnen;Getötete;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
2014;Andere Fahrzeuge;auf Autobahnen;Schwerverletzte;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
2014;Andere Fahrzeuge;auf Autobahnen;Leichtverletzte;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;-;-;-;4
2014;Andere Fahrzeuge;auf Autobahnen;Insgesamt;1;-;-;-;1;-;1;1;-;-;-;4;-;-;1;-;-;2;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;1;1;-;-;-;7
2014;Andere Fahrzeuge;Insgesamt;Getötete;-;-;1;-;1;-;-;-;1;5;-;8;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;6;-;10
2014;Andere Fahrzeuge;Insgesamt;Schwerverletzte;10;3;1;5;12;11;20;23;21;27;-;133;8;5;1;6;6;10;14;22;17;39;-;128;-;-;-;-;-;-;-;-;-;-;-;-;18;8;2;11;18;21;34;45;38;66;-;261
2014;Andere Fahrzeuge;Insgesamt;Leichtverletzte;70;20;22;25;91;86;142;98;59;66;3;682;51;17;35;45;106;87;125;117;87;113;1;784;-;-;-;-;-;-;-;-;-;-;9;9;121;37;57;70;197;173;267;215;146;179;13;1475
2014;Andere Fahrzeuge;Insgesamt;Insgesamt;80;23;24;30;104;97;162;121;81;98;3;823;59;22;36;51;112;97;139;139;105;153;1;914;-;-;-;-;-;-;-;-;-;-;9;9;139;45;60;81;216;194;301;260;186;251;13;1746
2014;Fußgänger;innerorts;Getötete;14;3;2;7;12;9;32;24;24;66;-;193;7;2;4;2;8;6;8;18;21;99;-;175;-;-;-;-;-;-;-;-;-;-;-;-;21;5;6;9;20;15;40;42;45;165;-;368
2014;Fußgänger;innerorts;Schwerverletzte;973;151;124;139;303;245;316;326;278;440;1;3296;714;177;132;143;208;214;326;408;515;1099;3;3939;-;-;-;-;-;-;-;-;-;-;1;1;1687;328;256;282;511;459;642;734;793;1539;5;7236
2014;Fußgänger;innerorts;Leichtverletzte;2759;524;470;651;1353;1144;1335;980;799;804;34;10853;2027;701;539;643;1220;953;1309;1184;1077;1430;20;11103;-;-;-;-;1;-;-;-;-;-;37;38;4786;1225;1009;1294;2574;2097;2644;2164;1876;2234;91;21994
2014;Fußgänger;innerorts;Insgesamt;3746;678;596;797;1668;1398;1683;1330;1101;1310;35;14342;2748;880;675;788;1436;1173;1643;1610;1613;2628;23;15217;-;-;-;-;1;-;-;-;-;-;38;39;6494;1558;1271;1585;3105;2571;3326;2940;2714;3938;96;29598
2014;Fußgänger;außerorts (ohne Autobahnen);Getötete;5;5;14;6;14;4;14;15;14;9;-;100;2;3;3;-;-;-;3;2;2;10;-;25;-;-;-;-;-;-;-;-;-;-;-;-;7;8;17;6;14;4;17;17;16;19;-;125
2014;Fußgänger;außerorts (ohne Autobahnen);Schwerverletzte;37;16;24;27;46;29;34;27;22;25;-;287;27;22;13;12;17;11;27;22;19;16;-;186;-;-;-;-;-;-;-;-;-;-;-;-;64;38;37;39;63;40;61;49;41;41;-;473
2014;Fußgänger;außerorts (ohne Autobahnen);Leichtverletzte;52;18;40;55;86;55;85;50;32;25;1;499;59;29;20;26;42;41;50;43;28;25;-;363;-;-;-;-;-;-;-;-;-;-;1;1;111;47;60;81;128;96;135;93;60;50;2;863
2014;Fußgänger;außerorts (ohne Autobahnen);Insgesamt;94;39;78;88;146;88;133;92;68;59;1;886;88;54;36;38;59;52;80;67;49;51;-;574;-;-;-;-;-;-;-;-;-;-;1;1;182;93;114;126;205;140;213;159;117;110;2;1461
2014;Fußgänger;auf Autobahnen;Getötete;-;1;3;1;9;2;5;3;1;3;-;28;-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;10;3;5;3;1;3;-;30
2014;Fußgänger;auf Autobahnen;Schwerverletzte;1;1;1;1;7;4;5;3;-;1;-;24;-;-;-;1;1;1;-;-;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;8;5;5;3;3;1;-;30
2014;Fußgänger;auf Autobahnen;Leichtverletzte;-;-;1;3;8;1;9;4;1;1;-;28;2;-;-;-;2;3;4;2;1;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3;10;4;13;6;2;1;-;42
2014;Fußgänger;auf Autobahnen;Insgesamt;1;2;5;5;24;7;19;10;2;5;-;80;2;-;-;1;4;5;4;2;4;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;3;2;5;6;28;12;23;12;6;5;-;102
2014;Fußgänger;Insgesamt;Getötete;19;9;19;14;35;15;51;42;39;78;-;321;9;5;7;2;9;7;11;20;23;109;-;202;-;-;-;-;-;-;-;-;-;-;-;-;28;14;26;16;44;22;62;62;62;187;-;523
2014;Fußgänger;Insgesamt;Schwerverletzte;1011;168;149;167;356;278;355;356;300;466;1;3607;741;199;145;156;226;226;353;430;537;1115;3;4131;-;-;-;-;-;-;-;-;-;-;1;1;1752;367;294;323;582;504;708;786;837;1581;5;7739
2014;Fußgänger;Insgesamt;Leichtverletzte;2811;542;511;709;1447;1200;1429;1034;832;830;35;11380;2088;730;559;669;1264;997;1363;1229;1106;1455;20;11480;-;-;-;-;1;-;-;-;-;-;38;39;4899;1272;1070;1378;2712;2197;2792;2263;1938;2285;93;22899
2014;Fußgänger;Insgesamt;Insgesamt;3841;719;679;890;1838;1493;1835;1432;1171;1374;36;15308;2838;934;711;827;1499;1230;1727;1679;1666;2679;23;15813;-;-;-;-;1;-;-;-;-;-;39;40;6679;1653;1390;1717;3338;2723;3562;3111;2837;4053;98;31161
2014;Andere Personen;innerorts;Getötete;-;-;-;-;1;1;-;1;-;1;-;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;-;5
2014;Andere Personen;innerorts;Schwerverletzte;5;2;1;1;7;6;12;8;2;2;1;47;-;3;-;2;1;2;1;3;3;22;-;37;-;-;-;-;-;-;-;-;-;-;-;-;5;5;1;3;8;8;13;11;5;24;1;84
2014;Andere Personen;innerorts;Leichtverletzte;16;8;9;21;52;35;51;30;20;12;7;261;26;11;9;11;31;23;20;26;22;43;2;224;-;-;-;-;-;-;-;-;-;-;1;1;42;19;18;32;83;58;71;56;42;55;10;486
2014;Andere Personen;innerorts;Insgesamt;21;10;10;22;60;42;63;39;22;15;8;312;26;14;9;13;32;25;21;30;25;65;2;262;-;-;-;-;-;-;-;-;-;-;1;1;47;24;19;35;92;67;84;69;47;80;11;575
2014;Andere Personen;außerorts (ohne Autobahnen);Getötete;-;-;-;-;1;1;-;4;-;-;-;6;-;-;-;-;1;1;1;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;10
2014;Andere Personen;außerorts (ohne Autobahnen);Schwerverletzte;1;-;2;3;3;1;2;3;4;-;-;19;2;1;2;-;1;1;2;3;2;3;-;17;-;-;-;-;-;-;-;-;-;-;-;-;3;1;4;3;4;2;4;6;6;3;-;36
2014;Andere Personen;außerorts (ohne Autobahnen);Leichtverletzte;5;3;7;3;13;7;13;12;12;1;2;78;12;11;10;6;14;6;13;7;11;5;-;95;-;-;-;-;-;-;-;-;-;-;-;-;17;14;17;9;27;13;26;19;23;6;2;173
2014;Andere Personen;außerorts (ohne Autobahnen);Insgesamt;6;3;9;6;17;9;15;19;16;1;2;103;14;12;12;6;16;8;16;11;13;8;-;116;-;-;-;-;-;-;-;-;-;-;-;-;20;15;21;12;33;17;31;30;29;9;2;219
2014;Andere Personen;auf Autobahnen;Getötete;-;-;-;1;3;5;4;3;1;-;-;17;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;3;5;4;3;1;1;-;19
2014;Andere Personen;auf Autobahnen;Schwerverletzte;3;-;-;4;1;2;5;2;1;1;-;19;1;-;-;1;5;3;-;5;2;1;-;18;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;5;6;5;5;7;3;2;-;37
2014;Andere Personen;auf Autobahnen;Leichtverletzte;2;1;10;32;9;7;17;9;6;7;-;100;2;1;1;4;3;5;11;7;6;1;-;41;-;-;-;-;-;-;-;-;-;-;-;-;4;2;11;36;12;12;28;16;12;8;-;141
2014;Andere Personen;auf Autobahnen;Insgesamt;5;1;10;37;13;14;26;14;8;8;-;136;3;1;1;5;8;8;11;12;8;3;-;60;1;-;-;-;-;-;-;-;-;-;-;1;9;2;11;42;21;22;37;26;16;11;-;197
2014;Andere Personen;Insgesamt;Getötete;-;-;-;1;5;7;4;8;1;1;-;27;-;-;-;-;1;1;1;2;-;1;-;6;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;6;8;5;10;1;2;-;34
2014;Andere Personen;Insgesamt;Schwerverletzte;9;2;3;8;11;9;19;13;7;3;1;85;3;4;2;3;7;6;3;11;7;26;-;72;-;-;-;-;-;-;-;-;-;-;-;-;12;6;5;11;18;15;22;24;14;29;1;157
2014;Andere Personen;Insgesamt;Leichtverletzte;23;12;26;56;74;49;81;51;38;20;9;439;40;23;20;21;48;34;44;40;39;49;2;360;-;-;-;-;-;-;-;-;-;-;1;1;63;35;46;77;122;83;125;91;77;69;12;800
2014;Andere Personen;Insgesamt;Insgesamt;32;14;29;65;90;65;104;72;46;24;10;551;43;27;22;24;56;41;48;53;46;76;2;438;1;-;-;-;-;-;-;-;-;-;1;2;76;41;51;89;146;106;152;125;92;100;13;991
2014;Insgesamt;innerorts;Getötete;25;17;24;37;79;56;92;89;86;160;-;665;7;3;7;4;18;14;23;40;54;149;-;319;-;-;-;-;-;-;-;-;-;-;-;-;32;20;31;41;97;70;115;129;140;309;-;983
2014;Insgesamt;innerorts;Schwerverletzte;2023;1400;1253;1381;2663;2310;3591;2830;1872;1958;10;21291;1300;733;725;839;1505;1337;2119;1991;1788;2415;8;14760;-;-;1;-;-;-;-;-;-;-;4;5;3323;2133;1979;2220;4168;3647;5710;4821;3660;4373;22;36054
2014;Insgesamt;innerorts;Leichtverletzte;10840;7205;7599;9568;19428;15965;19242;12103;7239;5434;186;114809;8233;4769;7061;9082;18030;14113;17016;11116;7100;5764;103;102387;2;-;-;2;1;2;1;2;1;2;208;221;19075;11974;14660;18652;37459;30080;36259;23221;14340;11200;497;217417
2014;Insgesamt;innerorts;Insgesamt;12888;8622;8876;10986;22170;18331;22925;15022;9197;7552;196;136765;9540;5505;7793;9925;19553;15464;19158;13147;8942;8328;111;117466;2;-;1;2;1;2;1;2;1;2;212;226;22430;14127;16670;20913;41724;33797;42084;28171;18140;15882;519;254454
2014;Insgesamt;außerorts (ohne Autobahnen);Getötete;19;49;139;156;242;160;272;197;137;180;-;1551;12;18;45;36;41;37;53;58;70;106;-;476;-;-;-;-;-;-;-;-;-;-;-;-;31;67;184;192;283;197;325;255;207;286;-;2019
2014;Insgesamt;außerorts (ohne Autobahnen);Schwerverletzte;474;881;1698;1810;2670;2011;2982;2052;1082;999;4;16663;415;449;1011;977;1357;1037;1469;1127;759;707;1;9309;-;1;-;-;-;-;-;-;1;-;-;2;889;1331;2709;2787;4027;3048;4451;3179;1842;1706;5;25971
2014;Insgesamt;außerorts (ohne Autobahnen);Leichtverletzte;1857;2348;4938;4870;7863;5904;7348;4610;2303;1722;21;43784;1904;1589;4229;4059;6391;4821;5876;3421;1895;1336;8;35529;-;2;-;-;-;-;-;-;-;-;20;22;3761;3939;9167;8929;14254;10725;13224;8031;4198;3058;49;79323
2014;Insgesamt;außerorts (ohne Autobahnen);Insgesamt;2350;3278;6775;6836;10775;8075;10602;6859;3522;2901;25;61998;2331;2056;5285;5072;7789;5895;7398;4606;2724;2149;9;45314;-;3;-;-;-;-;-;-;1;-;20;24;4681;5337;12060;11908;18564;13970;18000;11465;6247;5050;54;107313
2014;Insgesamt;auf Autobahnen;Getötete;3;2;14;23;72;56;69;45;15;17;-;316;4;2;7;4;9;17;14;3;3;11;-;74;2;-;-;-;-;-;-;-;-;-;-;2;9;4;21;27;81;73;83;48;18;28;-;375
2014;Insgesamt;auf Autobahnen;Schwerverletzte;134;53;216;352;742;642;744;424;204;141;1;3653;126;52;168;249;378;247;329;237;146;125;1;2058;-;-;-;-;-;-;-;-;-;-;-;-;260;105;384;601;1120;889;1073;661;350;266;2;5707
2014;Insgesamt;auf Autobahnen;Leichtverletzte;618;173;910;1544;3286;2645;2699;1475;555;296;6;14207;677;300;921;1337;2567;1632;1656;1027;509;271;3;10900;-;1;-;1;-;1;-;-;-;-;-;3;1295;474;1831;2882;5853;4278;4355;2502;1064;567;9;25063
2014;Insgesamt;auf Autobahnen;Insgesamt;755;228;1140;1919;4100;3343;3512;1944;774;454;7;18176;807;354;1096;1590;2954;1896;1999;1267;658;407;4;13032;2;1;-;1;-;1;-;-;-;-;-;5;1564;583;2236;3510;7054;5240;5511;3211;1432;861;11;31145
2014;Insgesamt;Insgesamt;Getötete;47;68;177;216;393;272;433;331;238;357;-;2532;23;23;59;44;68;68;90;101;127;266;-;869;2;-;-;-;-;-;-;-;-;-;-;2;72;91;236;260;461;340;523;432;365;623;-;3377
2014;Insgesamt;Insgesamt;Schwerverletzte;2631;2334;3167;3543;6075;4963;7317;5306;3158;3098;15;41607;1841;1234;1904;2065;3240;2621;3917;3355;2693;3247;10;26127;-;1;1;-;-;-;-;-;1;-;4;7;4472;3569;5072;5608;9315;7584;11234;8661;5852;6345;29;67732
2014;Insgesamt;Insgesamt;Leichtverletzte;13315;9726;13447;15982;30577;24514;29289;18188;10097;7452;213;172800;10814;6658;12211;14478;26988;20566;24548;15564;9504;7371;114;148816;2;3;-;3;1;3;1;2;1;2;228;246;24131;16387;25658;30463;57566;45083;53838;33754;19602;14825;555;321803
2014;Insgesamt;Insgesamt;Insgesamt;15993;12128;16791;19741;37045;29749;37039;23825;13493;10907;228;216939;12678;7915;14174;16587;30296;23255;28555;19020;12324;10884;124;175812;4;4;1;3;1;3;1;2;2;2;232;255;28675;20047;30966;36331;67342;53007;65595;42847;25819;21793;584;392912
2015;Kraftrad mit Versicherungskennzeichen;innerorts;Getötete;-;2;1;1;1;1;7;8;3;6;-;30;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;2;7;8;3;6;-;31
2015;Kraftrad mit Versicherungskennzeichen;innerorts;Schwerverletzte;14;287;105;107;192;204;366;303;167;100;1;1846;7;107;32;42;45;52;86;61;22;27;1;482;-;-;-;-;-;-;-;-;-;-;1;1;21;394;137;149;237;256;452;364;189;127;3;2329
2015;Kraftrad mit Versicherungskennzeichen;innerorts;Leichtverletzte;55;1629;691;570;1086;904;1175;820;415;262;41;7648;50;787;374;335;463;346;458;181;80;43;8;3125;-;1;-;-;-;-;-;-;-;-;9;10;105;2417;1065;905;1549;1250;1633;1001;495;305;58;10783
2015;Kraftrad mit Versicherungskennzeichen;innerorts;Insgesamt;69;1918;797;678;1279;1109;1548;1131;585;368;42;9524;57;894;406;377;508;399;544;242;102;70;9;3608;-;1;-;-;-;-;-;-;-;-;10;11;126;2813;1203;1055;1787;1508;2092;1373;687;438;61;13143
